"colony_id","spp","species","year","area_cm2","surv"
111,"AI","Acropora intermedia",2014,880.007044949085,0
112,"AI","Acropora intermedia",2009,1132.28662506818,1
112,"AI","Acropora intermedia",2010,987.129903356593,1
112,"AI","Acropora intermedia",2011,1324.65972195039,1
112,"AI","Acropora intermedia",2012,999.995245212961,1
112,"AI","Acropora intermedia",2013,597.132341881723,1
112,"AI","Acropora intermedia",2014,640.79255310302,0
114,"AI","Acropora intermedia",2009,731.929232662043,1
114,"AI","Acropora intermedia",2010,1071.88128772676,1
114,"AI","Acropora intermedia",2011,1363.26557352328,1
114,"AI","Acropora intermedia",2012,1336.65837791762,1
114,"AI","Acropora intermedia",2013,793.061927183716,1
114,"AI","Acropora intermedia",2014,1078.31537658536,0
115,"AI","Acropora intermedia",2009,370.02662791945,1
115,"AI","Acropora intermedia",2010,118.784185856245,1
115,"AI","Acropora intermedia",2011,19.8430566971871,0
117,"AI","Acropora intermedia",2009,641.425284035742,1
117,"AI","Acropora intermedia",2010,441.625509454334,1
117,"AI","Acropora intermedia",2011,311.403453689168,1
117,"AI","Acropora intermedia",2012,61.5320125778982,1
117,"AI","Acropora intermedia",2013,23.3174313331274,0
118,"AI","Acropora intermedia",2009,1250.33024059582,1
118,"AI","Acropora intermedia",2010,45.8402705778998,1
118,"AI","Acropora intermedia",2012,10.4483713463029,0
119,"AI","Acropora intermedia",2009,461.271344991389,1
119,"AI","Acropora intermedia",2010,698.027149502409,1
119,"AI","Acropora intermedia",2011,1066.80615251705,1
119,"AI","Acropora intermedia",2012,741.878245616264,1
119,"AI","Acropora intermedia",2013,611.019735229094,1
119,"AI","Acropora intermedia",2014,215.285920561965,0
120,"AI","Acropora intermedia",2009,105.132466090188,0
121,"AI","Acropora intermedia",2009,70.4998523146406,1
121,"AI","Acropora intermedia",2010,46.8138907459935,1
121,"AI","Acropora intermedia",2011,71.9890472601207,1
121,"AI","Acropora intermedia",2012,201.337385957563,1
121,"AI","Acropora intermedia",2013,161.329264476863,0
122,"AI","Acropora intermedia",2009,316.129171690887,1
122,"AI","Acropora intermedia",2010,35.2922960580571,0
123,"AI","Acropora intermedia",2010,134.345483006329,1
123,"AI","Acropora intermedia",2011,33.7012780334986,0
124,"AI","Acropora intermedia",2010,113.261131805425,1
124,"AI","Acropora intermedia",2011,175.804854230329,1
