"colony_id","spp","species","year","area_cm2","competition_id","competition_number","competition_outliner_name","competition_taxon","competition_growthform","competition_length_cm","competition","competition_type","competition_outcome"
7,"AC","Acropora cytherea",2013,2180.09690215005,4473,1,"mariana","Acropora","Branching",NA,"certain","Overtop","won"
8,"AC","Acropora cytherea",2009,1839.36289998882,86,6,"mariana","Isopora","Cuneiform",14.14529915,"uncertain","Overtop","won"
8,"AC","Acropora cytherea",2009,1839.36289998882,85,5,"mariana","Acropora","Corymbose",10.12820513,"certain","Overtop","won"
8,"AC","Acropora cytherea",2009,1839.36289998882,88,8,"mariana","Acropora","Tabular",25.38461538,"certain","Overtop","won"
8,"AC","Acropora cytherea",2009,1839.36289998882,83,3,"mariana","Acropora","Corymbose",7.564102564,"uncertain","Overtop","lost"
8,"AC","Acropora cytherea",2009,1839.36289998882,84,4,"mariana","Acropora","Corymbose",8.034188034,"certain","Digestion","lost"
8,"AC","Acropora cytherea",2009,1839.36289998882,87,7,"mariana","Acropora","Digitate",5.256410256,"uncertain","Overtop","won"
8,"AC","Acropora cytherea",2009,1839.36289998882,81,1,"mariana","Acropora","Digitate",1.153846154,"uncertain","Overtop","won"
8,"AC","Acropora cytherea",2009,1839.36289998882,82,2,"mariana","Acropora","Tabular",2.863247863,"uncertain","Overtop","won"
8,"AC","Acropora cytherea",2010,2915.95130512634,347,2,"mariana","Acropora","Tabular",7.14272707,"certain","Overtop","won"
8,"AC","Acropora cytherea",2010,2915.95130512634,346,1,"mariana","Acropora","Tabular",25.12149374,"certain","Overtop","lost"
8,"AC","Acropora cytherea",2010,2915.95130512634,351,6,"mariana","Acropora","Digitate",5.5399688,"certain","Overtop","won"
8,"AC","Acropora cytherea",2010,2915.95130512634,348,3,"mariana","Acropora","Digitate",2.61319283,"certain","Overtop","won"
8,"AC","Acropora cytherea",2011,2294.06852416162,3312,5,"mariana","Isopora","Cuneiform",1.611903169,"uncertain","Overtop","won"
8,"AC","Acropora cytherea",2011,2294.06852416162,3311,4,"mariana","Soft coral","Encrusting",3.854551057,"uncertain","Overtop","won"
8,"AC","Acropora cytherea",2011,2294.06852416162,3313,6,"mariana","Soft coral","Encrusting",2.172565141,"uncertain","Overtop","won"
8,"AC","Acropora cytherea",2011,2294.06852416162,3310,3,"mariana","Isopora","Cuneiform",2.032399648,"uncertain","Overtop","won"
8,"AC","Acropora cytherea",2011,2294.06852416162,3308,1,"mariana","Soft coral","Encrusting",4.905792254,"certain","Overtop","won"
8,"AC","Acropora cytherea",2011,2294.06852416162,3309,2,"mariana","Acropora","Tabular",10.26712236,"certain","Overtop","won"
8,"AC","Acropora cytherea",2012,904.201105834867,361,1,"mariana","Isopora","Encrusting",10.7262308,"certain","Overtop","won"
8,"AC","Acropora cytherea",2012,904.201105834867,362,2,"mariana","Soft coral","Cuneiform",7.848461558,"certain","Overtop","won"
8,"AC","Acropora cytherea",2013,337.547144510317,4480,1,"mariana","Isopora","Encrusting",NA,"uncertain","Overtop","won"
9,"AC","Acropora cytherea",2009,6771.50304484763,3774,7,"mariana","Isopora","Cuneiform",8.927606125,"certain","Overtop","lost"
9,"AC","Acropora cytherea",2009,6771.50304484763,3773,6,"mariana","Isopora","Cuneiform",27.30797168,"certain","Digestion","mutual_digestion"
9,"AC","Acropora cytherea",2009,6771.50304484763,3770,3,"mariana","Acropora","Branching",4.306257072,"uncertain","Overtop","won"
9,"AC","Acropora cytherea",2009,6771.50304484763,3769,2,"mariana","Favid","Massive",6.616931599,"certain","Overtop","won"
9,"AC","Acropora cytherea",2009,6771.50304484763,3768,1,"mariana","Acropora","Corymbose",33.92490328,"certain","Overtop","lost"
9,"AC","Acropora cytherea",2009,6771.50304484763,3771,4,"mariana","Acropora","Corymbose",9.452759427,"certain","Overtop","won"
9,"AC","Acropora cytherea",2009,6771.50304484763,3772,5,"mariana","Isopora","Cuneiform",3.991165091,"uncertain","Standoff","standoff"
9,"AC","Acropora cytherea",2010,8771.82733792129,383,4,"mariana","Isopora","Cuneiform",18.96412523,"certain","Digestion","won"
9,"AC","Acropora cytherea",2010,8771.82733792129,390,11,"mariana","Acropora","Corymbose",3.090001235,"certain","Overtop","won"
9,"AC","Acropora cytherea",2010,8771.82733792129,381,2,"mariana","Acropora","Corymbose",6.725296805,"certain","Overtop","won"
9,"AC","Acropora cytherea",2010,8771.82733792129,388,9,"mariana","Poritid","Massive",8.482356331,"certain","Digestion","lost"
9,"AC","Acropora cytherea",2010,8771.82733792129,382,3,"mariana","Isopora","Cuneiform",4.604707723,"certain","Digestion","won"
9,"AC","Acropora cytherea",2010,8771.82733792129,387,8,"mariana","Acropora","Corymbose",8.845885888,"uncertain","Overtop","lost"
9,"AC","Acropora cytherea",2010,8771.82733792129,385,6,"mariana","Acropora","Corymbose",1.696471266,"uncertain","Overtop","lost"
9,"AC","Acropora cytherea",2010,8771.82733792129,384,5,"mariana","Isopora","Cuneiform",1.635883007,"uncertain","Overtop","lost"
9,"AC","Acropora cytherea",2010,8771.82733792129,389,10,"mariana","Montipora","Encrusting",11.20882801,"uncertain","Overtop","won"
9,"AC","Acropora cytherea",2010,8771.82733792129,380,1,"mariana","Pocilloporid","Corymbose",7.634120698,"certain","Overtop","won"
9,"AC","Acropora cytherea",2010,8771.82733792129,386,7,"mariana","Acropora","Corymbose",8.785297629,"certain","Digestion","won"
9,"AC","Acropora cytherea",2011,11113.9952580456,3253,2,"mariana","Acropora","Tabular",6.397632782,"certain","Digestion","mutual_digestion"
9,"AC","Acropora cytherea",2011,11113.9952580456,3266,15,"mariana","Isopora","Cuneiform",7.183306983,"certain","Digestion","mutual_digestion"
9,"AC","Acropora cytherea",2011,11113.9952580456,3252,1,"mariana","Poritid","Massive",32.54935977,"certain","Digestion","lost"
9,"AC","Acropora cytherea",2011,11113.9952580456,3265,14,"mariana","Isopora","Cuneiform",9.989286274,"certain","Digestion","mutual_digestion"
9,"AC","Acropora cytherea",2011,11113.9952580456,3257,6,"mariana","Acropora","Tabular",21.32544261,"certain","Overtop","won"
9,"AC","Acropora cytherea",2011,11113.9952580456,3256,5,"mariana","Acropora","Tabular",31.6514464,"certain","Overtop","won"
9,"AC","Acropora cytherea",2011,11113.9952580456,3269,18,"mariana","Acropora","Corymbose",37.26340498,"certain","Digestion","won"
9,"AC","Acropora cytherea",2011,11113.9952580456,3263,12,"mariana","Isopora","Cuneiform",11.56063468,"uncertain","Other direct contact","standoff"
