"colony_id","spp","species","year","area_cm2","area_cm2_next"
86,"AH","Acropora hyacinthus",2010,3213.61789804069,3377.9602208269
86,"AH","Acropora hyacinthus",2011,3377.9602208269,4059.31657868219
86,"AH","Acropora hyacinthus",2012,4059.31657868219,3051.60488812955
88,"AH","Acropora hyacinthus",2009,1329.29594066614,1335.01333296214
90,"AH","Acropora hyacinthus",2009,2630.11265535588,3288.20993320519
90,"AH","Acropora hyacinthus",2010,3288.20993320519,4056.40918667142
90,"AH","Acropora hyacinthus",2011,4056.40918667142,578.825698724625
91,"AH","Acropora hyacinthus",2009,871.743740033706,1664.89731746593
91,"AH","Acropora hyacinthus",2010,1664.89731746593,2130.80903813135
91,"AH","Acropora hyacinthus",2011,2130.80903813135,2544.13273766884
91,"AH","Acropora hyacinthus",2012,2544.13273766884,2581.57947612291
91,"AH","Acropora hyacinthus",2013,2581.57947612291,479.240557942846
92,"AH","Acropora hyacinthus",2009,3155.40463648593,3764.43905721971
92,"AH","Acropora hyacinthus",2010,3764.43905721971,3781.2466997571
93,"AH","Acropora hyacinthus",2009,1005.16933588462,2047.0594752876
93,"AH","Acropora hyacinthus",2010,2047.0594752876,3049.81913391422
93,"AH","Acropora hyacinthus",2011,3049.81913391422,1624.50231490227
94,"AH","Acropora hyacinthus",2009,2036.11595256924,2890.56868764531
94,"AH","Acropora hyacinthus",2010,2890.56868764531,3473.83518837561
94,"AH","Acropora hyacinthus",2011,3473.83518837561,3279.528713445
94,"AH","Acropora hyacinthus",2012,3279.528713445,2450.52566468568
94,"AH","Acropora hyacinthus",2013,2450.52566468568,206.954455720821
95,"AH","Acropora hyacinthus",2009,1881.41517454854,3203.91961146994
95,"AH","Acropora hyacinthus",2010,3203.91961146994,1823.48705991939
95,"AH","Acropora hyacinthus",2011,1823.48705991939,1319.89112578066
95,"AH","Acropora hyacinthus",2012,1319.89112578066,1636.13247897825
95,"AH","Acropora hyacinthus",2013,1636.13247897825,2169.85083956938
96,"AH","Acropora hyacinthus",2009,2356.74463449199,414.532825569471
96,"AH","Acropora hyacinthus",2010,414.532825569471,53.5289645518073
97,"AH","Acropora hyacinthus",2009,2739.22464298336,3898.89212423307
97,"AH","Acropora hyacinthus",2010,3898.89212423307,2553.41474954508
98,"AH","Acropora hyacinthus",2010,2624.43392832239,2441.17055883912
98,"AH","Acropora hyacinthus",2011,2441.17055883912,2272.6634156789
98,"AH","Acropora hyacinthus",2012,2272.6634156789,2418.31817881795
98,"AH","Acropora hyacinthus",2013,2418.31817881795,2481.6676507539
99,"AH","Acropora hyacinthus",2010,58.6092157728121,169.157986097638
101,"AI","Acropora intermedia",2009,5242.06175647305,5474.99590780546
101,"AI","Acropora intermedia",2010,5474.99590780546,3848.46059516251
101,"AI","Acropora intermedia",2011,3848.46059516251,515.011369270474
101,"AI","Acropora intermedia",2012,515.011369270474,120.517819181507
101,"AI","Acropora intermedia",2013,120.517819181507,34.4801179292597
104,"AI","Acropora intermedia",2009,49.1972372720061,58.1398208114453
104,"AI","Acropora intermedia",2010,58.1398208114453,94.1102518811773
106,"AI","Acropora intermedia",2009,1314.00521532946,1246.00762066046
106,"AI","Acropora intermedia",2010,1246.00762066046,870.793574547761
106,"AI","Acropora intermedia",2011,870.793574547761,1035.72411736057
108,"AI","Acropora intermedia",2009,578.84644901408,729.86907700236
108,"AI","Acropora intermedia",2010,729.86907700236,740.535413203685
108,"AI","Acropora intermedia",2011,740.535413203685,270.119289633227
109,"AI","Acropora intermedia",2009,1268.00236753893,1980.80806262935
109,"AI","Acropora intermedia",2012,742.845827267975,174.794859199434
110,"AI","Acropora intermedia",2011,520.256515171018,412.469512382742
110,"AI","Acropora intermedia",2012,412.469512382742,392.746146223543
110,"AI","Acropora intermedia",2013,392.746146223543,74.0263759684665
111,"AI","Acropora intermedia",2009,3281.55435233123,4178.39584182347
111,"AI","Acropora intermedia",2010,4178.39584182347,2396.15354054492
111,"AI","Acropora intermedia",2011,2396.15354054492,5976.24528144924
111,"AI","Acropora intermedia",2012,5976.24528144924,5074.03534412479
111,"AI","Acropora intermedia",2013,5074.03534412479,880.007044949085
112,"AI","Acropora intermedia",2009,1132.28662506818,987.129903356593
112,"AI","Acropora intermedia",2010,987.129903356593,1324.65972195039
112,"AI","Acropora intermedia",2011,1324.65972195039,999.995245212961
112,"AI","Acropora intermedia",2012,999.995245212961,597.132341881723
112,"AI","Acropora intermedia",2013,597.132341881723,640.79255310302
114,"AI","Acropora intermedia",2009,731.929232662043,1071.88128772676
114,"AI","Acropora intermedia",2010,1071.88128772676,1363.26557352328
114,"AI","Acropora intermedia",2011,1363.26557352328,1336.65837791762
114,"AI","Acropora intermedia",2012,1336.65837791762,793.061927183716
114,"AI","Acropora intermedia",2013,793.061927183716,1078.31537658536
115,"AI","Acropora intermedia",2009,370.02662791945,118.784185856245
115,"AI","Acropora intermedia",2010,118.784185856245,19.8430566971871
117,"AI","Acropora intermedia",2009,641.425284035742,441.625509454334
117,"AI","Acropora intermedia",2010,441.625509454334,311.403453689168
117,"AI","Acropora intermedia",2011,311.403453689168,61.5320125778982
117,"AI","Acropora intermedia",2012,61.5320125778982,23.3174313331274
118,"AI","Acropora intermedia",2009,1250.33024059582,45.8402705778998
